user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
PRJNA738608B_bin_443899	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900539695	GCA_025758045.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900539695	98.44	0.915	GCA_025758045.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger sp900539695	98.44	0.915	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_004554775.1, s__Gemmiger variabilis_B, 95.0, 89.13, 0.635; GCF_024462815.1, s__Gemmiger sp900554145, 95.0, 83.98, 0.228; GCF_018784445.1, s__Gemmiger sp900540775, 95.0, 83.92, 0.256; GCF_900167555.1, s__Gemmiger formicilis, 95.0, 83.66, 0.221; GCA_025757985.1, s__Gemmiger sp900540595, 95.0, 82.96, 0.194; GCA_934502625.1, s__Gemmiger sp934502625, 95.0, 82.93, 0.199; GCF_934561205.1, s__Gemmiger sp934561205, 95.0, 82.23, 0.171; GCA_944388215.1, s__Gemmiger sp944388215, 95.0, 81.85, 0.164	87.57	11	N/A	N/A
PRJNA738608B_bin_443980	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A amylophila	GCF_025567265.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A amylophila	97.7	0.807	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_025567265.1, s__Dorea_A amylophila, 95.0, 97.7, 0.807; GCA_019421265.1, s__Dorea_A sp019421265, 95.0, 97.27, 0.463; GCA_934309195.1, s__Dorea_A sp934309195, 95.0, 95.15, 0.736; GCA_900550865.1, s__Dorea_A sp900550865, 95.0, 90.71, 0.575; GCF_025150085.1, s__Dorea_A longicatena, 95.0, 90.66, 0.573; GCA_934295165.1, s__Dorea_A sp934295165, 95.0, 87.83, 0.385; GCF_934294775.1, s__Dorea_A sp934294775, 95.0, 86.12, 0.292	89.12	11	N/A	N/A
PRJNA738608B_bin_461642	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UBA4644;s__UBA4644 sp029099685	GCA_029099685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UBA4644;s__UBA4644 sp029099685	98.54	0.875	GCA_029099685.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UBA4644;s__UBA4644 sp029099685	98.54	0.875	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__UBA4644;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_017521295.1, s__UBA4644 sp017521295, 95.0, 84.09, 0.226; GCA_017559995.1, s__UBA4644 sp017559995, 95.0, 83.46, 0.212; GCA_017620505.1, s__UBA4644 sp017620505, 95.0, 82.89, 0.151	80.91	11	N/A	N/A
PRJNA738608B_bin_472054	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus saerimneri	GCF_000423265.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus saerimneri	97.46	0.888	GCF_000423265.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus saerimneri	97.46	0.888	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	79.09	11	N/A	N/A
PRJNA738608B_bin_491020	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Scybalomonas;s__Scybalomonas excrementigallinarum	GCA_018710905.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Scybalomonas;s__Scybalomonas excrementigallinarum	97.37	0.73	GCA_018710905.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Scybalomonas;s__Scybalomonas excrementigallinarum	97.37	0.73	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Scybalomonas;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905214925.1, s__Scybalomonas sp905214925, 95.0, 95.76, 0.71; GCA_900544525.1, s__Scybalomonas sp900544525, 95.0, 93.86, 0.628	61.15	11	N/A	N/A
PRJNA738608B_bin_491327	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Kurthia;s__Kurthia intestinigallinarum	GCA_019114605.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Kurthia;s__Kurthia intestinigallinarum	98.68	0.735	GCA_019114605.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Kurthia;s__Kurthia intestinigallinarum	98.68	0.735	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_A;f__Planococcaceae;g__Kurthia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000505545.1, s__Kurthia huakuii, 95.0, 86.66, 0.457; GCF_000285555.1, s__Kurthia massiliensis, 95.0, 82.42, 0.213	74.5	11	N/A	N/A
PRJNA738608B_bin_497791	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	GCF_030296915.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	97.87	0.751	GCF_030296915.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus	97.87	0.751	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_019423795.1, s__Anaerostipes sp019423795, 95.0, 94.48, 0.714; GCA_905215045.1, s__Anaerostipes sp905215045, 95.0, 93.68, 0.653; GCA_902362875.1, s__Anaerostipes sp900066705, 95.0, 89.55, 0.463; GCF_025567365.1, s__Anaerostipes amylophilus, 95.0, 89.31, 0.509	79.4	11	N/A	Genome has more than 10.8% of markers with multiple hits
PRJNA738608B_bin_504785	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus ingluviei	GCF_001435775.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus ingluviei	97.64	0.894	GCF_001435775.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus ingluviei	97.64	0.894	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	85.72	11	N/A	N/A
PRJNA738608B_bin_509683	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.34	0.889	GCF_000020225.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	97.34	0.889	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_905200945.1, s__Akkermansia sp905200945, 95.0, 94.66, 0.863; GCF_030848305.1, s__Akkermansia muciniphila_A, 95.0, 94.21, 0.817; GCF_023516715.1, s__Akkermansia massiliensis, 95.0, 88.26, 0.648; GCA_947624785.1, s__Akkermansia muciniphila_F, 95.0, 88.05, 0.629; GCF_002884975.1, s__Akkermansia muciniphila_C, 95.0, 86.42, 0.552; GCF_018709685.1, s__Akkermansia muciniphila_E, 95.0, 86.27, 0.534; GCF_020860705.1, s__Akkermansia sp020860705, 95.0, 85.93, 0.509; GCF_026072915.1, s__Akkermansia biwaensis, 95.0, 82.86, 0.304; GCA_021202525.1, s__Akkermansia sp021202525, 95.0, 82.38, 0.288; GCF_004167605.1, s__Akkermansia sp004167605, 95.0, 82.25, 0.288	90.13	11	N/A	N/A
PRJNA738608B_bin_521803	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539885	GCF_023347535.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539885	96.99	0.79	GCF_023347535.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium sp900539885	96.99	0.79	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_023347255.1, s__Faecalibacterium prausnitzii_D, 95.0, 91.5, 0.671; GCA_934511465.1, s__Faecalibacterium sp934511465, 95.0, 90.69, 0.533; GCA_902463235.1, s__Faecalibacterium sp902463235, 95.0, 88.78, 0.462; GCA_934501115.1, s__Faecalibacterium sp934501115, 95.0, 88.58, 0.487; GCF_002549775.1, s__Faecalibacterium prausnitzii_F, 95.0, 87.91, 0.495; GCA_025757845.1, s__Faecalibacterium sp900539945, 95.0, 87.06, 0.4; GCA_900765105.1, s__Faecalibacterium sp900765105, 95.0, 87.01, 0.378; GCA_934513205.1, s__Faecalibacterium sp934513205, 95.0, 86.42, 0.395; GCA_934525735.1, s__Faecalibacterium sp934525735, 95.0, 86.33, 0.426; GCA_900772565.1, s__Faecalibacterium sp900772565, 95.0, 86.14, 0.344; GCF_023347295.1, s__Faecalibacterium sp003449675, 95.0, 86.1, 0.348; GCF_003287405.1, s__Faecalibacterium prausnitzii_J, 95.0, 86.04, 0.341; GCA_934561555.1, s__Faecalibacterium sp934561555, 95.0, 86.03, 0.353; GCA_934524985.1, s__Faecalibacterium sp934524985, 95.0, 86.03, 0.338; GCF_023347235.1, s__Faecalibacterium prausnitzii_A, 95.0, 85.98, 0.345; GCA_934525845.1, s__Faecalibacterium sp934525845, 95.0, 85.96, 0.355; GCF_003324185.1, s__Faecalibacterium prausnitzii, 95.0, 85.86, 0.345; GCA_934561115.1, s__Faecalibacterium sp934561115, 95.0, 85.83, 0.34; GCA_902463905.1, s__Faecalibacterium sp902463905, 95.0, 85.75, 0.302; GCA_934512105.1, s__Faecalibacterium sp934512105, 95.0, 85.69, 0.292; GCA_934525325.1, s__Faecalibacterium sp934525325, 95.0, 85.68, 0.316; GCA_934540955.1, s__Faecalibacterium sp934540955, 95.0, 85.68, 0.306; GCA_934503275.1, s__Faecalibacterium sp934503275, 95.0, 85.61, 0.333; GCA_934539245.1, s__Faecalibacterium sp934539245, 95.0, 85.54, 0.327; GCA_934525405.1, s__Faecalibacterium sp934525405, 95.0, 85.46, 0.29; GCA_900765705.1, s__Faecalibacterium sp900765705, 95.0, 85.42, 0.26; GCA_905215595.1, s__Faecalibacterium sp905215595, 95.0, 85.4, 0.288; GCA_934532365.1, s__Faecalibacterium sp934532365, 95.0, 85.28, 0.33; GCA_934561485.1, s__Faecalibacterium sp934561485, 95.0, 84.92, 0.327; GCA_934553285.1, s__Faecalibacterium sp934553285, 95.0, 84.61, 0.298; GCF_010509575.1, s__Faecalibacterium duncaniae, 95.0, 84.28, 0.232; GCA_934518555.1, s__Faecalibacterium sp934518555, 95.0, 83.85, 0.258; GCF_023347275.1, s__Faecalibacterium sp900758465, 95.0, 83.76, 0.21; GCF_019967995.1, s__Faecalibacterium prausnitzii_E, 95.0, 83.66, 0.214; GCA_004558805.1, s__Faecalibacterium prausnitzii_M, 95.0, 83.65, 0.26; GCF_003287455.1, s__Faecalibacterium hattorii, 95.0, 83.54, 0.21; GCA_934526125.1, s__Faecalibacterium sp934526125, 95.0, 83.51, 0.182; GCA_014858325.1, s__Faecalibacterium sp014858325, 95.0, 83.51, 0.161; GCA_934514285.1, s__Faecalibacterium sp934514285, 95.0, 83.19, 0.181; GCF_020687245.1, s__Faecalibacterium longum, 95.0, 83.18, 0.195; GCF_003287495.1, s__Faecalibacterium prausnitzii_I, 95.0, 83.15, 0.182; GCA_900551435.1, s__Faecalibacterium sp900551435, 95.0, 83.15, 0.162; GCA_934547065.1, s__Faecalibacterium sp934547065, 95.0, 83.04, 0.224; GCA_934533135.1, s__Faecalibacterium sp934533135, 95.0, 82.5, 0.173	52.37	11	N/A	N/A
PRJNA738608B_bin_522740	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Holtiella;s__Holtiella sp900551325	GCA_900551325.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Holtiella;s__Holtiella sp900551325	97.85	0.883	GCA_900551325.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Holtiella;s__Holtiella sp900551325	97.85	0.883	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Holtiella;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	69.93	11	N/A	N/A
PRJNA738608B_bin_523460	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Cellulosilyticum;s__	N/A	N/A	N/A	N/A	N/A	GCA_018883705.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Cellulosilyticum;s__Cellulosilyticum pullistercoris	87.98	0.526	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Cellulosilyticaceae;g__Cellulosilyticum;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	N/A	63.99	11	0.98441	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
PRJNA738608B_bin_532909	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_E	GCF_013694365.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_E	97.96	0.801	GCF_013694365.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus reuteri_E	97.96	0.801	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_020784195.1, s__Limosilactobacillus reuteri_H, 95.0, 96.93, 0.876; GCF_000016825.1, s__Limosilactobacillus reuteri, 95.0, 95.94, 0.87; GCF_012971035.1, s__Limosilactobacillus reuteri_G, 95.0, 95.51, 0.824; GCA_946487795.1, s__Limosilactobacillus sp946487795, 95.0, 94.91, 0.517; GCF_002254085.1, s__Limosilactobacillus rodentium, 95.0, 94.45, 0.844; GCF_003072625.1, s__Limosilactobacillus reuteri_D, 95.0, 94.35, 0.811; GCF_020784725.1, s__Limosilactobacillus reuteri_F, 95.0, 94.34, 0.845; GCF_014145615.1, s__Limosilactobacillus balticus, 95.0, 93.3, 0.81; GCF_014145585.1, s__Limosilactobacillus agrestis, 95.0, 90.58, 0.687; GCF_014635905.1, s__Limosilactobacillus caviae, 95.0, 84.25, 0.389; GCF_021168615.1, s__Limosilactobacillus albertensis, 95.0, 84.14, 0.387; GCF_014830205.1, s__Limosilactobacillus walteri, 95.0, 82.35, 0.245; GCF_014145455.1, s__Limosilactobacillus rudii, 95.0, 81.17, 0.198	90.03	11	N/A	N/A
PRJNA738608B_bin_536510	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii	GCF_000154445.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii	98.38	0.925	GCF_000154445.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii	98.38	0.925	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_937944945.1, s__Intestinibacter sp937944945, 95.0, 90.1, 0.227; GCF_018917435.1, s__Intestinibacter bartlettii_A, 95.0, 89.6, 0.608; GCF_015667935.1, s__Intestinibacter sp900540355, 95.0, 88.02, 0.486; GCA_945931665.1, s__Intestinibacter sp945931665, 95.0, 87.87, 0.511; GCF_022780145.1, s__Intestinibacter sp022780145, 95.0, 84.23, 0.224	77.3	11	N/A	N/A
PRJNA738608B_bin_537315	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium septicum	GCF_003606265.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium septicum	99.75	0.95	GCF_003606265.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium septicum	99.75	0.95	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_002327185.1, s__Clostridium chauvoei, 95.0, 85.32, 0.477	77.72	11	N/A	N/A
PRJNA738608B_bin_538917	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus paragasseri	GCF_003584685.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus paragasseri	98.8	0.796	GCF_003584685.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus paragasseri	98.8	0.796	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCF_000014425.1, s__Lactobacillus gasseri, 95.0, 92.96, 0.723; GCF_947539375.1, s__Lactobacillus sp947539375, 95.0, 88.34, 0.478; GCF_001436695.1, s__Lactobacillus taiwanensis, 95.0, 86.25, 0.429; GCA_947568765.1, s__Lactobacillus sp947568765, 95.0, 85.9, 0.41; GCA_947565635.1, s__Lactobacillus sp947565635, 95.0, 85.84, 0.373; GCA_945980025.1, s__Lactobacillus sp945980025, 95.0, 85.72, 0.245; GCF_013487865.1, s__Lactobacillus johnsonii_A, 95.18, 85.46, 0.363; GCA_947641735.1, s__Lactobacillus sp947641735, 95.0, 85.38, 0.363; GCF_910589175.1, s__Lactobacillus sp910589175, 95.0, 85.34, 0.368; GCF_000159355.1, s__Lactobacillus johnsonii, 95.4, 85.29, 0.404; GCF_910589675.1, s__Lactobacillus sp910589675, 95.0, 85.04, 0.234; GCF_948948975.1, s__Lactobacillus sp948948975, 95.0, 85.0, 0.364; GCA_946579245.1, s__Lactobacillus sp946579245, 95.0, 84.86, 0.259; GCA_947171515.1, s__Lactobacillus sp947171515, 95.23, 84.39, 0.292	59.92	11	N/A	N/A
PRJNA738608B_bin_550660	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_945912085.1, s__Cryptobacteroides sp945912085, 95.0, 86.78, 0.392; GCA_945948555.1, s__Cryptobacteroides sp945948555, 95.0, 85.94, 0.472	93.84	11	0.98434	N/A
PRJNA738608B_bin_577530	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-1321;g__Bacillus_AD;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales_B;f__DSM-1321;g__Bacillus_AD;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	64.63	11	0.98028	N/A
PRJNA738608B_bin_582894	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	GCF_025148125.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	97.52	0.816	GCF_025148125.1	95.0	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A wexlerae	97.52	0.816	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	GCA_958454115.1, s__Blautia_A wexlerae_C, 95.0, 95.34, 0.315; GCF_013300825.1, s__Blautia_A wexlerae_B, 95.0, 94.34, 0.654; GCA_019419095.1, s__Blautia_A sp019419095, 95.0, 93.73, 0.272; GCA_003471165.1, s__Blautia_A sp003471165, 95.0, 89.76, 0.402; GCF_018919065.1, s__Blautia_A sp018919065, 95.0, 89.22, 0.341; GCF_014297245.1, s__Blautia_A difficilis, 95.0, 88.37, 0.257; GCF_009707925.1, s__Blautia_A luti, 95.0, 87.72, 0.257; GCA_003477525.1, s__Blautia_A sp003477525, 95.0, 87.47, 0.258; GCA_905209435.1, s__Blautia_A sp905209435, 95.0, 86.24, 0.224; GCA_934437695.1, s__Blautia_A sp934437695, 95.0, 86.19, 0.381	74.74	11	N/A	N/A
PRJNA738608B_bin_583784	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA3663;g__UBA3663;s__	N/A	N/A	N/A	N/A	N/A	GCA_004557315.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA3663;g__UBA3663;s__UBA3663 sp004557315	94.76	0.797	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA3663;g__UBA3663;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCA_016293065.1, s__UBA3663 sp016293065, 95.0, 88.22, 0.436	68.48	11	0.99479	Genome not assigned to closest species as it falls outside its pre-defined ANI radius
PRJNA738608B_bin_648905	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis	GCF_000269965.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium infantis	96.3	0.704	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Bifidobacteriaceae;g__Bifidobacterium;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have incongruent species assignments	GCF_000269965.1, s__Bifidobacterium infantis, 95.0, 96.3, 0.704; GCF_000196555.1, s__Bifidobacterium longum, 95.0, 96.27, 0.734; GCA_905202265.1, s__Bifidobacterium longum_D, 95.0, 96.07, 0.492; GCA_022739095.1, s__Bifidobacterium sp022739095, 95.0, 94.92, 0.591; GCF_959020155.1, s__Bifidobacterium sp959020155, 95.0, 94.5, 0.399; GCF_001025175.1, s__Bifidobacterium breve, 95.0, 89.5, 0.339; GCF_019331675.1, s__Bifidobacterium miconisargentati, 95.0, 85.34, 0.198; GCF_003129905.1, s__Bifidobacterium callitrichidarum, 95.0, 84.93, 0.189	49.43	11	N/A	Genome has more than 12.5% of markers with multiple hits
